Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,Filename,Year
188,Father Figures,$25601244,$17501244,68.4%,$8100000,31.6%,2017.csv,2017
189,Money,$25403753,-,-,$25403753,100%,2017.csv,2017
190,The Death of Stalin,$24646055,$8047856,32.7%,$16598199,67.3%,2017.csv,2017
191,The 8-Year Engagement,$24425963,-,-,$24425963,100%,2017.csv,2017
192,Jolly LLB 2,$24214186,$1654254,6.8%,$22559932,93.2%,2017.csv,2017
193,I Can Speak,$24024444,$63239,0.3%,$23961205,99.7%,2017.csv,2017
194,Wish Upon,$23468586,$14301505,60.9%,$9167081,39.1%,2017.csv,2017
195,Detroit,$23355100,$16790139,71.9%,$6564961,28.1%,2017.csv,2017
196,Extraordinary Mission,$22757764,$54174,0.2%,$22703590,99.8%,2017.csv,2017
197,The Glass Castle,$22088533,$17273059,78.2%,$4815474,21.8%,2017.csv,2017
198,Leap! 2017 Re-release,$21929861,$21858070,99.7%,$71791,0.3%,2017.csv,2017
199,Épouse-moi mon pote,$21571464,-,-,$21571464,100%,2017.csv,2017
200,The Prison,$21205329,$207481,1%,$20997848,99%,2017.csv,2017
1,Avengers: Infinity War,$2048359754,$678815482,33.1%,$1369544272,66.9%,2018.csv,2018
2,Black Panther,$1346913161,$700059566,52%,$646853595,48%,2018.csv,2018
3,Jurassic World: Fallen Kingdom,$1308467944,$417719760,31.9%,$890748184,68.1%,2018.csv,2018
4,Incredibles 2,$1242805359,$608581744,49%,$634223615,51%,2018.csv,2018
5,Aquaman,$1148461807,$335061807,29.2%,$813400000,70.8%,2018.csv,2018
6,Bohemian Rhapsody,$903655259,$216428042,24%,$687227217,76%,2018.csv,2018
7,Venom,$856085151,$213515506,24.9%,$642569645,75.1%,2018.csv,2018
8,Mission: Impossible - Fallout,$791115104,$220159104,27.8%,$570956000,72.2%,2018.csv,2018
9,Deadpool 2,$734546611,$318491426,43.4%,$416055185,56.6%,2018.csv,2018
10,Fantastic Beasts: The Crimes of Grindelwald,$654855901,$159555901,24.4%,$495300000,75.6%,2018.csv,2018
11,Ant-Man and the Wasp,$622674139,$216648740,34.8%,$406025399,65.2%,2018.csv,2018
12,Ready Player One,$582890172,$137690172,23.6%,$445200000,76.4%,2018.csv,2018
13,Operation Red Sea,$579330426,$1543547,0.3%,$577786879,99.7%,2018.csv,2018
14,Detective Chinatown 2,$544185156,$1983984,0.4%,$542201172,99.6%,2018.csv,2018
15,The Meg,$530243742,$145443742,27.4%,$384800000,72.6%,2018.csv,2018
16,Ralph Breaks the Internet,$529323962,$201091711,38%,$328232251,62%,2018.csv,2018
17,Hotel Transylvania 3: Summer Vacation,$528583774,$167510016,31.7%,$361073758,68.3%,2018.csv,2018
18,The Grinch,$511595957,$270620950,52.9%,$240975007,47.1%,2018.csv,2018
19,Bumblebee,$467989645,$127195589,27.2%,$340794056,72.8%,2018.csv,2018
20,Dying to Survive,$451176639,-,-,$451176639,100%,2018.csv,2018
21,A Star Is Born,$436188866,$215288866,49.4%,$220900000,50.6%,2018.csv,2018
22,Rampage,$428028233,$101028233,23.6%,$327000000,76.4%,2018.csv,2018
23,Mamma Mia! Here We Go Again,$395044706,$120634935,30.5%,$274409771,69.5%,2018.csv,2018
24,Solo: A Star Wars Story,$392924807,$213767512,54.4%,$179157295,45.6%,2018.csv,2018
25,Spider-Man: Into the Spider-Verse,$375540831,$190241310,50.7%,$185299521,49.3%,2018.csv,2018
26,Fifty Shades Freed,$371985018,$100407760,27%,$271577258,73%,2018.csv,2018
27,Hello Mr. Billionaire,$366961907,-,-,$366961907,100%,2018.csv,2018
28,The Nun,$365550119,$117450119,32.1%,$248100000,67.9%,2018.csv,2018
29,Monster Hunt 2,$361682618,$706153,0.2%,$360976465,99.8%,2018.csv,2018
30,Peter Rabbit,$351266433,$115253424,32.8%,$236013009,67.2%,2018.csv,2018
31,Mary Poppins Returns,$349537494,$171958438,49.2%,$177579056,50.8%,2018.csv,2018
32,A Quiet Place,$340939361,$188024361,55.1%,$152915000,44.9%,2018.csv,2018
33,Green Book,$321752656,$85080171,26.4%,$236672485,73.6%,2018.csv,2018
34,Skyscraper,$304868961,$68420120,22.4%,$236448841,77.6%,2018.csv,2018
35,Ocean's Eight,$297718711,$140218711,47.1%,$157500000,52.9%,2018.csv,2018
36,Pacific Rim: Uprising,$290930148,$59874525,20.6%,$231055623,79.4%,2018.csv,2018
37,Maze Runner: The Death Cure,$288175335,$58032443,20.1%,$230142892,79.9%,2018.csv,2018
38,Tomb Raider,$274650803,$58250803,21.2%,$216400000,78.8%,2018.csv,2018
39,Halloween,$255485178,$159342015,62.4%,$96143163,37.6%,2018.csv,2018
40,Crazy Rich Asians,$238532921,$174532921,73.2%,$64000000,26.8%,2018.csv,2018
41,Creed II,$214215889,$115715889,54%,$98500000,46%,2018.csv,2018
42,Smallfoot,$214040103,$83240103,38.9%,$130800000,61.1%,2018.csv,2018
43,Us and Them,$209221380,-,-,$209221380,100%,2018.csv,2018
44,The Island,$198326350,$670883,0.3%,$197655467,99.7%,2018.csv,2018
45,Christopher Robin,$197744377,$99215042,50.2%,$98529335,49.8%,2018.csv,2018
46,The Equalizer 2,$190400157,$102084362,53.6%,$88315795,46.4%,2018.csv,2018
47,Project Gutenberg,$188116796,-,-,$188116796,100%,2018.csv,2018
48,The Mule,$174804407,$103804407,59.4%,$71000000,40.6%,2018.csv,2018
49,The Nutcracker and the Four Realms,$173961069,$54858851,31.5%,$119102218,68.5%,2018.csv,2018
50,Insidious: The Last Key,$167885588,$67745330,40.4%,$100140258,59.6%,2018.csv,2018
51,The Predator,$160542134,$51024708,31.8%,$109517426,68.2%,2018.csv,2018
52,Johnny English Strikes Again,$158970776,$4412170,2.8%,$154558606,97.2%,2018.csv,2018
53,Red Sparrow,$151572634,$46874505,30.9%,$104698129,69.1%,2018.csv,2018
54,More Than Blue,$142958164,$722669,0.5%,$142235495,99.5%,2018.csv,2018
55,The First Purge,$137056262,$69488745,50.7%,$67567517,49.3%,2018.csv,2018
56,How Long Will I Love U,$136796719,$746933,0.5%,$136049786,99.5%,2018.csv,2018
57,A Wrinkle in Time,$132675864,$100478608,75.7%,$32197256,24.3%,2018.csv,2018
58,The House with a Clock in Its Walls,$131457147,$68549695,52.1%,$62907452,47.9%,2018.csv,2018
59,Instant Family,$120556201,$67363237,55.9%,$53192964,44.1%,2018.csv,2018
60,A Cool Fish,$118153135,$551876,0.5%,$117601259,99.5%,2018.csv,2018
61,Game Night,$117679066,$69179066,58.8%,$48500000,41.2%,2018.csv,2018
62,Dragon Ball Super: Broly,$115757940,$30712119,26.5%,$85045821,73.5%,2018.csv,2018
63,The Monkey King 3,$115084576,$187074,0.2%,$114897502,99.8%,2018.csv,2018
64,First Man,$105697415,$44936545,42.5%,$60760870,57.5%,2018.csv,2018
65,Book Club,$104438188,$68566296,65.7%,$35871892,34.3%,2018.csv,2018
66,Night School,$103105878,$77339130,75%,$25766748,25%,2018.csv,2018
67,Detective Conan: Zero the Enforcer,$101860359,-,-,$101860359,100%,2018.csv,2018
68,Alpha,$98203196,$35857181,36.5%,$62346015,63.5%,2018.csv,2018
69,Along With the Gods: The Last 49 Days,$97962238,$1200246,1.2%,$96761992,98.8%,2018.csv,2018
70,A Simple Favor,$97644617,$53548586,54.8%,$44096031,45.2%,2018.csv,2018
71,Boonie Bears 5,$96820519,-,-,$96820519,100%,2018.csv,2018
72,The Favourite,$95918706,$34366783,35.8%,$61551923,64.2%,2018.csv,2018
73,Truth or Dare,$95330493,$41411015,43.4%,$53919478,56.6%,2018.csv,2018
74,Kill Mobile,$94870905,-,-,$94870905,100%,2018.csv,2018
75,I Feel Pretty,$94539426,$48795601,51.6%,$45743825,48.4%,2018.csv,2018
76,Blockers,$94017294,$60311495,64.1%,$33705799,35.9%,2018.csv,2018
77,BlacKkKlansman,$93400823,$49275340,52.8%,$44125483,47.2%,2018.csv,2018
78,Goosebumps 2: Haunted Halloween,$93320380,$46700633,50%,$46619747,50%,2018.csv,2018
79,Shadow,$91708374,$521396,0.6%,$91186978,99.4%,2018.csv,2018
80,Overboard,$91244913,$50316123,55.1%,$40928790,44.9%,2018.csv,2018
81,Sherlock Gnomes,$90497778,$43242871,47.8%,$47254907,52.2%,2018.csv,2018
82,Detective Dee: The Four Heavenly Kings,$90040771,$262963,0.3%,$89777808,99.7%,2018.csv,2018
83,Hello Mrs. Money,$86874070,-,-,$86874070,100%,2018.csv,2018
84,Robin Hood,$86489031,$30824628,35.6%,$55664403,64.4%,2018.csv,2018
85,I Can Only Imagine,$86086881,$83482352,97%,$2604529,3%,2018.csv,2018
86,Hidden Man,$85170581,-,-,$85170581,100%,2018.csv,2018
87,Mortal Engines,$83672673,$15951040,19.1%,$67721633,80.9%,2018.csv,2018
88,Partment: The Movie,$81096321,-,-,$81096321,100%,2018.csv,2018
89,Doraemon the Movie: Nobita's Treasure Island,$80920916,-,-,$80920916,100%,2018.csv,2018
90,Den of Thieves,$80509622,$44947622,55.8%,$35562000,44.2%,2018.csv,2018
91,Hereditary,$80200936,$44069456,54.9%,$36131480,45.1%,2018.csv,2018
92,Code Blue the Movie,$78778562,-,-,$78778562,100%,2018.csv,2018
93,Tag,$78130625,$54730625,70.1%,$23400000,29.9%,2018.csv,2018
94,Sanju,$76693052,$7909317,10.3%,$68783735,89.7%,2018.csv,2018
95,Vice,$76073488,$47836282,62.9%,$28237206,37.1%,2018.csv,2018
96,Widows,$75984700,$42402632,55.8%,$33582068,44.2%,2018.csv,2018
97,Sicario: Day of the Soldado,$75837743,$50072235,66%,$25765508,34%,2018.csv,2018
98,Searching,$75462037,$26020957,34.5%,$49441080,65.5%,2018.csv,2018
99,The Spy Who Dumped Me,$75320680,$33562069,44.6%,$41758611,55.4%,2018.csv,2018
100,Animal World,$74922830,-,-,$74922830,100%,2018.csv,2018
101,Amazing China,$72506343,-,-,$72506343,100%,2018.csv,2018
102,Second Act,$72282227,$39282227,54.3%,$33000000,45.7%,2018.csv,2018
103,Spirited Away 2018 Re-release,$70186029,$1175067,1.7%,$69010962,98.3%,2018.csv,2018
104,Shoplifters,$67999335,$3313513,4.9%,$64685822,95.1%,2018.csv,2018
105,12 Strong,$67450815,$45819713,67.9%,$21631102,32.1%,2018.csv,2018
106,Love Simon,$66316289,$40826341,61.6%,$25489948,38.4%,2018.csv,2018
107,Mile 22,$66308758,$36108758,54.5%,$30200000,45.5%,2018.csv,2018
108,Life of the Party,$65859911,$53059911,80.6%,$12800000,19.4%,2018.csv,2018
109,L Storm,$64517456,-,-,$64517456,100%,2018.csv,2018
110,Capernaum,$64417003,$1661096,2.6%,$62755907,97.4%,2018.csv,2018
111,Isle of Dogs,$64241499,$32015231,49.8%,$32226268,50.2%,2018.csv,2018
112,Andhadhun,$62475342,$1193046,1.9%,$61282296,98.1%,2018.csv,2018
113,Adrift,$59945012,$31445012,52.5%,$28500000,47.5%,2018.csv,2018
114,The 15:17 to Paris,$57076286,$36276286,63.6%,$20800000,36.4%,2018.csv,2018
115,A or B,$56239049,-,-,$56239049,100%,2018.csv,2018
116,Go Brother!,$54663060,-,-,$54663060,100%,2018.csv,2018
117,Early Man,$54622814,$8267544,15.1%,$46355270,84.9%,2018.csv,2018
118,Peppermint,$53918723,$35418723,65.7%,$18500000,34.3%,2018.csv,2018
119,Teen Titans GO! To the Movies,$52090236,$29790236,57.2%,$22300000,42.8%,2018.csv,2018
120,Slender Man,$51738549,$30569484,59.1%,$21169065,40.9%,2018.csv,2018
121,Breaking In,$51411620,$46840590,91.1%,$4571030,8.9%,2018.csv,2018
122,Cry Me a Sad River,$51400614,-,-,$51400614,100%,2018.csv,2018
123,Simmba,$51329025,$5102129,9.9%,$46226896,90.1%,2018.csv,2018
124,Once Upon a Deadpool 2018 Re-release,$51247568,$6100309,11.9%,$45147259,88.1%,2018.csv,2018
125,Family is Family,$49954866,-,-,$49954866,100%,2018.csv,2018
126,Death Wish,$49562710,$34017028,68.6%,$15545682,31.4%,2018.csv,2018
127,The Magic Tuche,$47427990,-,-,$47427990,100%,2018.csv,2018
128,Golden Job,$47287851,$285795,0.6%,$47002056,99.4%,2018.csv,2018
129,Mary Queen of Scots,$46712809,$16468499,35.3%,$30244310,64.7%,2018.csv,2018
130,Uncle Drew,$46664414,$42469946,91%,$4194468,9%,2018.csv,2018
131,Acrimony,$46403669,$43549096,93.8%,$2854573,6.2%,2018.csv,2018
132,Asterix: The Secret of the Magic Potion,$46221204,$1271953,2.8%,$44949251,97.2%,2018.csv,2018
133,Bajrangi Bhaijaan 2018 Re-release,$45579004,-,-,$45579004,100%,2018.csv,2018
134,Winchester,$44019588,$25091816,57%,$18927772,43%,2018.csv,2018
135,Annihilation,$43070915,$32732301,76%,$10338614,24%,2018.csv,2018
136,The Possession of Hannah Grace,$43016528,$14837422,34.5%,$28179106,65.5%,2018.csv,2018
137,Long Day's Journey Into Night,$42140994,$521365,1.2%,$41619629,98.8%,2018.csv,2018
138,Overlord,$41657844,$21704844,52.1%,$19953000,47.9%,2018.csv,2018
139,The Great Battle,$41509280,$472166,1.1%,$41037114,98.9%,2018.csv,2018
140,The Darkest Minds,$41142379,$12695691,30.9%,$28446688,69.1%,2018.csv,2018
141,Lost Found,$41043552,-,-,$41043552,100%,2018.csv,2018
142,Holmes & Watson,$40466970,$30573626,75.6%,$9893344,24.4%,2018.csv,2018
143,Intimate Strangers,$39576060,-,-,$39576060,100%,2018.csv,2018
144,Thugs of Hindostan,$39570044,$1449848,3.7%,$38120196,96.3%,2018.csv,2018
145,Sink or Swim,$39193850,-,-,$39193850,100%,2018.csv,2018
146,Show Dogs,$39156854,$17857020,45.6%,$21299834,54.4%,2018.csv,2018
147,Believer,$39047153,$365639,0.9%,$38681514,99.1%,2018.csv,2018
148,The Spy Gone North,$38844509,$500803,1.3%,$38343706,98.7%,2018.csv,2018
149,On the Basis of Sex,$38673750,$24622687,63.7%,$14051063,36.3%,2018.csv,2018
150,Taxi 5,$38598227,-,-,$38598227,100%,2018.csv,2018
151,Fat Buddies,$37496410,-,-,$37496410,100%,2018.csv,2018
152,Till The End Of The World,$37013733,$118660,0.3%,$36895073,99.7%,2018.csv,2018
153,2.0,$36945969,$4152000,11.2%,$32793969,88.8%,2018.csv,2018
154,Nothing to Lose,$36075317,$1016188,2.8%,$35059129,97.2%,2018.csv,2018
155,T-34,$35950901,-,-,$35950901,100%,2018.csv,2018
156,Mia and the White Lion,$35487190,$399471,1.1%,$35087719,98.9%,2018.csv,2018
157,The Girl in the Spider's Web,$35164920,$14841338,42.2%,$20323582,57.8%,2018.csv,2018
158,The Hate U Give,$34934009,$29719483,85.1%,$5214526,14.9%,2018.csv,2018
159,Nobody's Fool,$33705333,$31713110,94.1%,$1992223,5.9%,2018.csv,2018
160,Baaghi 2,$33139063,$1319579,4%,$31819484,96%,2018.csv,2018
161,The Hurricane Heist,$32517248,$6115825,18.8%,$26401423,81.2%,2018.csv,2018
162,All About Me,$31920159,-,-,$31920159,100%,2018.csv,2018
163,Bad Times at the El Royale,$31882724,$17839115,56%,$14043609,44%,2018.csv,2018
164,Hunter Killer,$31672678,$15767460,49.8%,$15905218,50.2%,2018.csv,2018
165,Super Troopers 2,$31626386,$30617396,96.8%,$1008990,3.2%,2018.csv,2018
166,The Strangers: Prey at Night,$31039126,$24586708,79.2%,$6452418,20.8%,2018.csv,2018
167,Gintama 2: Rules are Made to be Broken,$30896653,-,-,$30896653,100%,2018.csv,2018
168,The Way of the Bug,$30355804,-,-,$30355804,100%,2018.csv,2018
169,Clergy,$30114115,-,-,$30114115,100%,2018.csv,2018
170,Ice,$29806210,-,-,$29806210,100%,2018.csv,2018
171,Free Solo,$29318861,$17541090,59.8%,$11777771,40.2%,2018.csv,2018
172,Dark Figure of Crime,$29176133,-,-,$29176133,100%,2018.csv,2018
173,Pad Man,$29045020,$1670192,5.8%,$27374828,94.2%,2018.csv,2018
174,Mirai,$28756961,$812794,2.8%,$27944167,97.2%,2018.csv,2018
175,Default,$27694043,$203775,0.7%,$27490268,99.3%,2018.csv,2018
176,One Cut of the Dead,$27590180,$52406,0.2%,$27537774,99.8%,2018.csv,2018
177,The Happytime Murders,$27506452,$20706452,75.3%,$6800000,24.7%,2018.csv,2018
178,Midnight Sun,$27365467,$9561064,34.9%,$17804403,65.1%,2018.csv,2018
179,VIP Policeman,$27222681,-,-,$27222681,100%,2018.csv,2018
180,My Neighbor Totoro 2018 Re-release,$27083857,$1144649,4.2%,$25939208,95.8%,2018.csv,2018
181,The Faces of My Gene,$26796279,-,-,$26796279,100%,2018.csv,2018
182,Badhaai Ho,$26125610,-,-,$26125610,100%,2018.csv,2018
183,Hichki,$26055222,$330279,1.3%,$25724943,98.7%,2018.csv,2018
184,White Boy Rick,$25957482,$24011188,92.5%,$1946294,7.5%,2018.csv,2018
185,Paul Apostle of Christ,$25915966,$17560475,67.8%,$8355491,32.2%,2018.csv,2018
186,Champions,$25690816,-,-,$25690816,100%,2018.csv,2018
187,Keys To The Heart,$25375866,$75134,0.3%,$25300732,99.7%,2018.csv,2018
188,Stan & Ollie,$24420923,$5470235,22.4%,$18950688,77.6%,2018.csv,2018
189,The Witch: Part 1 - The Subversion,$24340302,-,-,$24340302,100%,2018.csv,2018
190,The Accidental Detective 2: In Action,$24243825,$179045,0.7%,$24064780,99.3%,2018.csv,2018
191,Killing for the Prosecution,$23929620,-,-,$23929620,100%,2018.csv,2018
192,Pokémon the Movie: The Power of Us,$23740788,$789170,3.3%,$22951618,96.7%,2018.csv,2018
193,The Guernsey Literary and Potato Peel Pie Society,$23148937,-,-,$23148937,100%,2018.csv,2018
194,The Crimes That Bind,$23144130,-,-,$23144130,100%,2018.csv,2018
195,New Happy Dad and Son 3: Adventure in Russia,$23130469,-,-,$23130469,100%,2018.csv,2018
196,Padmaavat,$22991060,$11846060,51.5%,$11145000,48.5%,2018.csv,2018
197,Won't You Be My Neighbor?,$22844741,$22835787,100%,$8954,<0.1%,2018.csv,2018
198,Europe Raiders,$22435156,-,-,$22435156,100%,2018.csv,2018
199,Mojin: The Worm Valley,$22381583,$101516,0.5%,$22280067,99.5%,2018.csv,2018
200,Stree,$22075730,-,-,$22075730,100%,2018.csv,2018
1,Avengers: Endgame,$2797501328,$858373000,30.7%,$1939128328,69.3%,2019.csv,2019
2,The Lion King,$1656943394,$543638043,32.8%,$1113305351,67.2%,2019.csv,2019
3,Frozen II,$1450026933,$477373578,32.9%,$972653355,67.1%,2019.csv,2019
4,Spider-Man: Far from Home,$1131927996,$390532085,34.5%,$741395911,65.5%,2019.csv,2019
5,Captain Marvel,$1128274794,$426829839,37.8%,$701444955,62.2%,2019.csv,2019
6,Joker,$1074251311,$335451311,31.2%,$738800000,68.8%,2019.csv,2019
7,Star Wars: Episode IX - The Rise of Skywalker,$1074144248,$515202542,48%,$558941706,52%,2019.csv,2019
8,Toy Story 4,$1073394593,$434038008,40.4%,$639356585,59.6%,2019.csv,2019
9,Aladdin,$1050693953,$355559216,33.8%,$695134737,66.2%,2019.csv,2019
10,Jumanji: The Next Level,$800059707,$320314960,40%,$479744747,60%,2019.csv,2019
11,Fast & Furious Presents: Hobbs & Shaw,$759056935,$173956935,22.9%,$585100000,77.1%,2019.csv,2019
12,Ne Zha,$726063471,$3695533,0.5%,$722367938,99.5%,2019.csv,2019
13,The Wandering Earth,$699856699,$5971413,0.9%,$693885286,99.1%,2019.csv,2019
14,How to Train Your Dragon: The Hidden World,$521799505,$160799505,30.8%,$361000000,69.2%,2019.csv,2019
15,Maleficent: Mistress of Evil,$491730089,$113929605,23.2%,$377800484,76.8%,2019.csv,2019
16,It Chapter Two,$473093228,$211593228,44.7%,$261500000,55.3%,2019.csv,2019
17,My People My Country,$450064993,$2356683,0.5%,$447708310,99.5%,2019.csv,2019
18,Pokémon Detective Pikachu,$433005346,$144105346,33.3%,$288900000,66.7%,2019.csv,2019
19,The Secret Life of Pets 2,$430051293,$158874395,36.9%,$271176898,63.1%,2019.csv,2019
20,The Captain,$417282021,$706572,0.2%,$416575449,99.8%,2019.csv,2019
21,Alita: Battle Angel,$404980543,$85838210,21.2%,$319142333,78.8%,2019.csv,2019
22,Godzilla: King of the Monsters,$386600138,$110500138,28.6%,$276100000,71.4%,2019.csv,2019
23,1917,$384623579,$159227644,41.4%,$225395935,58.6%,2019.csv,2019
24,Once Upon a Time... In Hollywood,$374375059,$142502728,38.1%,$231872331,61.9%,2019.csv,2019
25,Shazam!,$365971656,$140371656,38.4%,$225600000,61.6%,2019.csv,2019
26,Dumbo,$353284621,$114766307,32.5%,$238518314,67.5%,2019.csv,2019
27,Crazy Alien,$327598891,-,-,$327598891,100%,2019.csv,2019
28,John Wick: Chapter 3 - Parabellum,$326709727,$171015687,52.3%,$155694040,47.7%,2019.csv,2019
29,Knives Out,$311539397,$165363234,53.1%,$146176163,46.9%,2019.csv,2019
30,Terminator: Dark Fate,$261119292,$62253077,23.8%,$198866215,76.2%,2019.csv,2019
31,Parasite,$258774734,$53369749,20.6%,$205404985,79.4%,2019.csv,2019
32,Pegasus,$255863112,-,-,$255863112,100%,2019.csv,2019
33,Us,$255184580,$175084580,68.6%,$80100000,31.4%,2019.csv,2019
34,Men in Black: International,$253890701,$80001807,31.5%,$173888894,68.5%,2019.csv,2019
35,X-Men: Dark Phoenix,$252442974,$65845974,26.1%,$186597000,73.9%,2019.csv,2019
36,Glass,$246999039,$111048468,45%,$135950571,55%,2019.csv,2019
37,The Bravest,$245179562,$290217,0.1%,$244889345,99.9%,2019.csv,2019
38,Annabelle Comes Home,$231252591,$74152591,32.1%,$157100000,67.9%,2019.csv,2019
39,Better Days,$225918798,$1921657,0.9%,$223997141,99.1%,2019.csv,2019
40,Ford v Ferrari,$225508210,$117624357,52.2%,$107883853,47.8%,2019.csv,2019
41,Little Women,$216601214,$108101214,49.9%,$108500000,50.1%,2019.csv,2019
42,The Addams Family,$203044905,$100044905,49.3%,$103000000,50.7%,2019.csv,2019
43,Rocketman,$195179299,$96368160,49.4%,$98811139,50.6%,2019.csv,2019
44,Downton Abbey,$193820755,$96854135,50%,$96966620,50%,2019.csv,2019
45,Weathering with You,$193485685,$7798743,4%,$185686942,96%,2019.csv,2019
46,The Lego Movie 2: The Second Part,$192306508,$105806508,55%,$86500000,45%,2019.csv,2019
47,Sheep Without a Shepherd,$191602146,-,-,$191602146,100%,2019.csv,2019
48,The White Storm 2: Drug Lords,$189396380,$609461,0.3%,$188786919,99.7%,2019.csv,2019
49,Abominable,$179053956,$60716390,33.9%,$118337566,66.1%,2019.csv,2019
50,Ip Man 4: The Finale,$176345966,$3956031,2.2%,$172389935,97.8%,2019.csv,2019
51,Gemini Man,$173469516,$48546770,28%,$124922746,72%,2019.csv,2019
52,Spies in Disguise,$171616764,$66757013,38.9%,$104859751,61.1%,2019.csv,2019
53,Hustlers,$157563598,$104963598,66.6%,$52600000,33.4%,2019.csv,2019
54,The Climbers,$156892866,$487157,0.3%,$156405709,99.7%,2019.csv,2019
55,Escape Room,$155712077,$57005601,36.6%,$98706476,63.4%,2019.csv,2019
56,Yesterday,$153178480,$73286650,47.8%,$79891830,52.2%,2019.csv,2019
57,The Angry Birds Movie 2,$147792047,$41667116,28.2%,$106124931,71.8%,2019.csv,2019
58,Angel Has Fallen,$146661977,$69030436,47.1%,$77631541,52.9%,2019.csv,2019
59,Ad Astra,$127461872,$50188370,39.4%,$77273502,60.6%,2019.csv,2019
60,Midway,$127420861,$56846802,44.6%,$70574059,55.4%,2019.csv,2019
61,The Upside,$125852517,$108252517,86%,$17600000,14%,2019.csv,2019
62,The Curse of la Llorona,$123133739,$54733739,44.5%,$68400000,55.5%,2019.csv,2019
63,Looking Up,$122994583,$84267,<0.1%,$122910316,99.9%,2019.csv,2019
64,Zombieland: Double Tap,$122810399,$73123082,59.5%,$49687317,40.5%,2019.csv,2019
65,Last Christmas,$121550750,$35150750,28.9%,$86400000,71.1%,2019.csv,2019
66,Extreme Job,$119932733,$1565885,1.3%,$118366848,98.7%,2019.csv,2019
67,Dora and the Lost City of Gold,$119682635,$60477943,50.5%,$59204692,49.5%,2019.csv,2019
68,Wonder Park,$119559110,$45216793,37.8%,$74342317,62.2%,2019.csv,2019
69,P Storm,$117991727,$326711,0.3%,$117665016,99.7%,2019.csv,2019
70,Detective Conan: The Fist of Blue Sapphire,$115570314,-,-,$115570314,100%,2019.csv,2019
71,The Gentlemen,$115171795,$36471795,31.7%,$78700000,68.3%,2019.csv,2019
72,Pet Sematary,$113118226,$54724696,48.4%,$58393530,51.6%,2019.csv,2019
73,Boonie Bears: Blast Into the Past,$112369259,-,-,$112369259,100%,2019.csv,2019
74,Good Boys,$111037232,$83140306,74.9%,$27896926,25.1%,2019.csv,2019
75,Scary Stories to Tell in the Dark,$104545505,$68947075,65.9%,$35598430,34.1%,2019.csv,2019
76,Line Walker 2: Invisible Spy,$99482027,$296751,0.3%,$99185276,99.7%,2019.csv,2019
77,The New King of Comedy,$95618308,-,-,$95618308,100%,2019.csv,2019
78,The Hustle,$95017038,$35417038,37.3%,$59600000,62.7%,2019.csv,2019
79,Adoring,$94975692,-,-,$94975692,100%,2019.csv,2019
80,Crawl,$91542097,$39014193,42.6%,$52527904,57.4%,2019.csv,2019
81,Five Feet Apart,$91522094,$45729221,50%,$45792873,50%,2019.csv,2019
82,Rambo: Last Blood,$91490353,$44819352,49%,$46671001,51%,2019.csv,2019
