Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,Filename,Year
83,Jojo Rabbit,$90335025,$33370906,36.9%,$56964119,63.1%,2019.csv,2019
84,One Piece: Stampede,$81562741,$1298528,1.6%,$80264213,98.4%,2019.csv,2019
85,A Dog's Way Home,$80708134,$42004346,52%,$38703788,48%,2019.csv,2019
86,Cold Pursuit,$76419755,$32138862,42.1%,$44280893,57.9%,2019.csv,2019
87,A Dog's Journey,$75741734,$22782371,30.1%,$52959363,69.9%,2019.csv,2019
88,A Madea Family Funeral,$74747725,$73257045,98%,$1490680,2%,2019.csv,2019
89,Cats,$73833459,$27166770,36.8%,$46666689,63.2%,2019.csv,2019
90,Charlie's Angels,$73279888,$17803077,24.3%,$55476811,75.7%,2019.csv,2019
91,Doctor Sleep,$72381712,$31581712,43.6%,$40800000,56.4%,2019.csv,2019
92,Serial (Bad) Weddings 2,$72300780,-,-,$72300780,100%,2019.csv,2019
93,What Men Want,$72216294,$54611903,75.6%,$17604391,24.4%,2019.csv,2019
94,After,$69756455,$12138565,17.4%,$57617890,82.6%,2019.csv,2019
95,Exit,$69501772,$470699,0.7%,$69031073,99.3%,2019.csv,2019
96,Playing with Fire,$69412425,$44451847,64%,$24960578,36%,2019.csv,2019
97,A Beautiful Day in the Neighborhood,$67760877,$61704055,91.1%,$6056822,8.9%,2019.csv,2019
98,War,$67179155,$4654000,6.9%,$62525155,93.1%,2019.csv,2019
99,Eiga Doraemon: Nobita no getsumen tansaki,$65406606,-,-,$65406606,100%,2019.csv,2019
100,Happy Death Day 2U,$64600152,$28148130,43.6%,$36452022,56.4%,2019.csv,2019
101,White Snake,$61631776,$34730,<0.1%,$61597046,99.9%,2019.csv,2019
102,Bombshell,$61404394,$31762808,51.7%,$29641586,48.3%,2019.csv,2019
103,Ashfall,$61354854,$372562,0.6%,$60982292,99.4%,2019.csv,2019
104,Ma,$61105672,$45896028,75.1%,$15209644,24.9%,2019.csv,2019
105,My Best Summer,$60011073,-,-,$60011073,100%,2019.csv,2019
106,Ready or Not,$57615777,$28714231,49.8%,$28901546,50.2%,2019.csv,2019
107,Jade Dynasty,$57149764,-,-,$57149764,100%,2019.csv,2019
108,Das perfekte Geheimnis,$56573047,-,-,$56573047,100%,2019.csv,2019
109,The Big Shot,$56040681,-,-,$56040681,100%,2019.csv,2019
110,Hellboy,$55064690,$21903748,39.8%,$33160942,60.2%,2019.csv,2019
111,Long Shot,$53873809,$30316271,56.3%,$23557538,43.7%,2019.csv,2019
112,Kingdom,$50574061,-,-,$50574061,100%,2019.csv,2019
113,Breakthrough,$50444358,$40713082,80.7%,$9731276,19.3%,2019.csv,2019
114,Just Mercy,$50401502,$36001502,71.4%,$14400000,28.6%,2019.csv,2019
115,Uncut Gems,$50023780,$50023780,100%,-,-,2019.csv,2019
116,21 Bridges,$49939757,$28539757,57.1%,$21400000,42.9%,2019.csv,2019
117,Song of Youth,$49615508,-,-,$49615508,100%,2019.csv,2019
118,The Grudge,$49511319,$21221803,42.9%,$28289516,57.1%,2019.csv,2019
119,Little,$48987096,$40860481,83.4%,$8126615,16.6%,2019.csv,2019
120,Isn't It Romantic,$48791187,$48791187,100%,-,-,2019.csv,2019
121,The Legend of Hei,$48507082,-,-,$48507082,100%,2019.csv,2019
122,Countdown,$48021766,$25621766,53.4%,$22400000,46.6%,2019.csv,2019
123,Midsommar,$47863365,$27426361,57.3%,$20437004,42.7%,2019.csv,2019
124,Queen & Slim,$47856414,$43808310,91.5%,$4048104,8.5%,2019.csv,2019
125,47 Meters Down: Uncaged,$47582563,$22260900,46.8%,$25321663,53.2%,2019.csv,2019
126,Chasing the Dragon II: Wild Wild Bunch,$45733356,$196634,0.4%,$45536722,99.6%,2019.csv,2019
127,Judy,$45701880,$24313888,53.2%,$21387992,46.8%,2019.csv,2019
128,Child's Play,$44907074,$29208403,65%,$15698671,35%,2019.csv,2019
129,Son of a Rich,$43833888,-,-,$43833888,100%,2019.csv,2019
130,Richard Jewell,$43745542,$22345542,51.1%,$21400000,48.9%,2019.csv,2019
131,Harriet,$43347017,$43082155,99.4%,$264862,0.6%,2019.csv,2019
132,A Shaun the Sheep Movie: Farmageddon,$43100248,-,-,$43100248,100%,2019.csv,2019
133,Fighting with My Family,$40811919,$22958886,56.3%,$17853033,43.7%,2019.csv,2019
134,Masquerade Hotel,$40396244,-,-,$40396244,100%,2019.csv,2019
135,The Last Wish,$39756292,-,-,$39756292,100%,2019.csv,2019
136,Uri: The Surgical Strike,$39346577,$4186168,10.6%,$35160409,89.4%,2019.csv,2019
137,Overcomer,$38026103,$34746945,91.4%,$3279158,8.6%,2019.csv,2019
138,Pain and Glory,$37359689,$4567338,12.2%,$32792351,87.8%,2019.csv,2019
139,A Witness Out of the Blue,$37092694,-,-,$37092694,100%,2019.csv,2019
140,The Intruder,$36599361,$35419122,96.8%,$1180239,3.2%,2019.csv,2019
141,The Queen's Corgi,$35515687,-,-,$35515687,100%,2019.csv,2019
142,Warrior of the Hornor,$34291831,-,-,$34291831,100%,2019.csv,2019
143,The Battle: Roar to Victory,$34148707,-,-,$34148707,100%,2019.csv,2019
144,The Bad Guys: The Movie,$34024386,$166972,0.5%,$33857414,99.5%,2019.csv,2019
145,The Good Liar,$33856058,$17156058,50.7%,$16700000,49.3%,2019.csv,2019
146,The Art of Racing in the Rain,$33766787,$26395642,78.2%,$7371145,21.8%,2019.csv,2019
147,Bharat,$33185983,$2971549,9%,$30214434,91%,2019.csv,2019
148,Brightburn,$32893421,$17300439,52.6%,$15592982,47.4%,2019.csv,2019
149,Fly Me to the Saitama,$32802347,-,-,$32802347,100%,2019.csv,2019
150,UglyDolls,$32450241,$20150241,62.1%,$12300000,37.9%,2019.csv,2019
151,Stuber,$32390945,$22370452,69.1%,$10020493,30.9%,2019.csv,2019
152,Hit Me Anyone One More Time!,$32333512,-,-,$32333512,100%,2019.csv,2019
153,Somewhere Winter,$32218990,-,-,$32218990,100%,2019.csv,2019
154,The Kid Who Would Be King,$32140970,$16790790,52.2%,$15350180,47.8%,2019.csv,2019
155,Two Tigers,$32001580,-,-,$32001580,100%,2019.csv,2019
156,Anna,$31626978,$7743794,24.5%,$23883184,75.5%,2019.csv,2019
157,My Dear Liar,$31177968,$90545,0.3%,$31087423,99.7%,2019.csv,2019
158,The Wild Goose Lake,$31042413,$12573,<0.1%,$31029840,100%,2019.csv,2019
159,My Hero Academia: Heroes Rising,$29982484,$13304000,44.4%,$16678484,55.6%,2019.csv,2019
160,Fall In Love At First Kiss,$29206238,-,-,$29206238,100%,2019.csv,2019
161,Gully Boy,$28141995,$5566534,19.8%,$22575461,80.2%,2019.csv,2019
162,Kim Ji-young: Born 1982,$27696393,-,-,$27696393,100%,2019.csv,2019
163,Pokémon: Mewtwo Strikes Back - Evolution,$27347118,-,-,$27347118,100%,2019.csv,2019
164,Almost a Comedy,$26990962,-,-,$26990962,100%,2019.csv,2019
165,Total Dhamaal,$26911995,$2167632,8.1%,$24744363,91.9%,2019.csv,2019
166,Missing Link,$26565710,$16649539,62.7%,$9916171,37.3%,2019.csv,2019
167,No Manches Frida 2,$26493648,$9270920,35%,$17222728,65%,2019.csv,2019
168,The Confidence Man JP,$26228317,-,-,$26228317,100%,2019.csv,2019
169,The Confidence Man JP: The Movie,$25958189,-,-,$25958189,100%,2019.csv,2019
170,The Gangster the Cop the Devil,$25775371,$216494,0.8%,$25558877,99.2%,2019.csv,2019
171,Bodies at Rest,$25293853,-,-,$25293853,100%,2019.csv,2019
172,Booksmart,$24959607,$22680962,90.9%,$2278645,9.1%,2019.csv,2019
173,Super 30,$24701637,$2269878,9.2%,$22431759,90.8%,2019.csv,2019
174,Skyfire,$24375211,$1105,<0.1%,$24374106,100%,2019.csv,2019
175,Start-Up,$24106579,-,-,$24106579,100%,2019.csv,2019
176,Pinocchio,$23883934,$1831718,7.7%,$22052216,92.3%,2019.csv,2019
177,The Peanut Butter Falcon,$23743627,$20457151,86.2%,$3286476,13.8%,2019.csv,2019
178,Nous finirons ensemble,$23613535,-,-,$23613535,100%,2019.csv,2019
179,Ossan's Love: Love or Dead,$23422744,-,-,$23422744,100%,2019.csv,2019
180,Only Cloud Knows,$23410836,-,-,$23410836,100%,2019.csv,2019
181,Dark Waters,$23108017,$11136084,48.2%,$11971933,51.8%,2019.csv,2019
182,The Farewell,$23076657,$17695781,76.7%,$5380876,23.3%,2019.csv,2019
183,The Knight of Shadows: Between Yin and Yang,$22774256,-,-,$22774256,100%,2019.csv,2019
184,Black and Blue,$22741061,$22055313,97%,$685748,3%,2019.csv,2019
185,Late Night,$22386555,$15499454,69.2%,$6887101,30.8%,2019.csv,2019
186,A Rainy Day in New York,$22002504,-,-,$22002504,100%,2019.csv,2019
187,Crazy Romance,$21386368,-,-,$21386368,100%,2019.csv,2019
188,Shaft,$21360215,$21360215,100%,-,-,2019.csv,2019
189,Unplanned,$21349929,$19005109,89%,$2344820,11%,2019.csv,2019
190,Hotel Mumbai,$21314816,$9651611,45.3%,$11663205,54.7%,2019.csv,2019
191,Integrity,$21290004,-,-,$21290004,100%,2019.csv,2019
192,The Secret Mission,$21083522,-,-,$21083522,100%,2019.csv,2019
193,This Is Tomas,$20084169,-,-,$20084169,100%,2019.csv,2019
194,The Specials,$19363826,-,-,$19363826,100%,2019.csv,2019
195,Always Miss You,$19015465,$91884,0.5%,$18923581,99.5%,2019.csv,2019
196,An Officer and a Spy,$18878658,-,-,$18878658,100%,2019.csv,2019
197,Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi,$18738951,-,-,$18738951,100%,2019.csv,2019
198,Greta,$18653107,$10532219,56.5%,$8120888,43.5%,2019.csv,2019
199,Peppa Celebrates Chinese New Year,$18653040,$131225,0.7%,$18521815,99.3%,2019.csv,2019
200,Black Christmas,$18529730,$10429730,56.3%,$8100000,43.7%,2019.csv,2019
1,The Eight Hundred,$461406887,$372755,<0.1%,$461034132,99.9%,2020.csv,2020
2,Demon Slayer: Mugen Train,$455495361,$47700000,10.5%,$407795361,89.5%,2020.csv,2020
3,Bad Boys for Life,$426505244,$206305244,48.4%,$220200000,51.6%,2020.csv,2020
4,My People My Homeland,$422390820,-,-,$422390820,100%,2020.csv,2020
5,Tenet,$363656624,$58456624,16.1%,$305200000,83.9%,2020.csv,2020
6,Sonic the Hedgehog,$319715683,$148974665,46.6%,$170741018,53.4%,2020.csv,2020
7,Dolittle,$245487753,$77047065,31.4%,$168440688,68.6%,2020.csv,2020
8,Legend of Deification,$240663149,$214670,<0.1%,$240448479,99.9%,2020.csv,2020
9,A Little Red Flower,$216000000,-,-,$216000000,100%,2020.csv,2020
10,Birds of Prey,$201858461,$84158461,41.7%,$117700000,58.3%,2020.csv,2020
11,Shock Wave 2,$198914468,-,-,$198914468,100%,2020.csv,2020
12,The Croods: A New Age,$174489000,$58569000,33.6%,$115920000,66.4%,2020.csv,2020
13,Wonder Woman 1984,$166534027,$46534027,27.9%,$120000000,72.1%,2020.csv,2020
14,The Sacrifice,$161047608,-,-,$161047608,100%,2020.csv,2020
15,The Invisible Man,$143151000,$70410000,49.2%,$72741000,50.8%,2020.csv,2020
16,Onward,$141950121,$61555145,43.4%,$80394976,56.6%,2020.csv,2020
17,Warm Hug,$129240236,-,-,$129240236,100%,2020.csv,2020
18,Soul,$119198268,-,-,$119198268,100%,2020.csv,2020
19,The Call of the Wild,$111105497,$62342368,56.1%,$48763129,43.9%,2020.csv,2020
20,Caught in Time,$80543319,-,-,$80543319,100%,2020.csv,2020
21,The Yin-Yang Master: Dream of Eternity,$68000000,-,-,$68000000,100%,2020.csv,2020
22,Mulan,$66800000,-,-,$66800000,100%,2020.csv,2020
23,Stand by Me Doraemon 2,$65066630,-,-,$65066630,100%,2020.csv,2020
24,The Rescue,$63426575,$18797,<0.1%,$63407778,100%,2020.csv,2020
25,Love You Forever,$60670799,-,-,$60670799,100%,2020.csv,2020
26,Greenland,$52300000,-,-,$52300000,100%,2020.csv,2020
27,Tolo Tolo,$52186426,-,-,$52186426,100%,2020.csv,2020
28,Vanguard,$50814965,$793525,1.6%,$50021440,98.4%,2020.csv,2020
29,Fantasy Island,$48811343,$27309289,55.9%,$21502054,44.1%,2020.csv,2020
30,After We Collided,$47990414,$2386483,5%,$45603931,95%,2020.csv,2020
31,From Today It's My Turn: The Movie,$47866854,-,-,$47866854,100%,2020.csv,2020
32,The New Mutants,$46996076,$23852659,50.8%,$23143417,49.2%,2020.csv,2020
33,Trolls World Tour,$46885895,-,-,$46885895,100%,2020.csv,2020
34,Tanhaji: The Unsung Warrior,$45221814,-,-,$45221814,100%,2020.csv,2020
35,Unhinged,$44331465,$20831465,47%,$23500000,53%,2020.csv,2020
36,The End of Endless Love,$43950000,-,-,$43950000,100%,2020.csv,2020
37,Train to Busan Presents: Peninsula,$42698327,$1231407,2.9%,$41466920,97.1%,2020.csv,2020
38,Monster Hunter,$41955901,$15162470,36.1%,$26793431,63.9%,2020.csv,2020
39,Underwater,$40882928,$17291078,42.3%,$23591850,57.7%,2020.csv,2020
40,The War with Grandpa,$40746845,$21277892,52.2%,$19468953,47.8%,2020.csv,2020
41,Sarileru Neekevvaru,$37389889,$821000,2.2%,$36568889,97.8%,2020.csv,2020
42,New Interpretation Records of the Three Kingdoms,$36747486,-,-,$36747486,100%,2020.csv,2020
43,The Confidence Man JP: Princess,$36109913,-,-,$36109913,100%,2020.csv,2020
44,The Man Standing Next,$34664900,$113527,0.3%,$34551373,99.7%,2020.csv,2020
45,My Mom is a Character 3,$34360029,-,-,$34360029,100%,2020.csv,2020
46,Deliver Us from Evil,$33718703,-,-,$33718703,100%,2020.csv,2020
47,Bloodshot,$33542457,$12561824,37.5%,$20980633,62.5%,2020.csv,2020
48,Doraemon the Movie: Nobita's New Dinosaur,$33479893,-,-,$33479893,100%,2020.csv,2020
49,Harry Potter and the Sorcerer's Stone 2020 Re-release,$31501815,-,-,$31501815,100%,2020.csv,2020
50,Honest Thief,$31139004,$14163574,45.5%,$16975430,54.5%,2020.csv,2020
51,Like a Boss,$30399490,$22169514,72.9%,$8229976,27.1%,2020.csv,2020
52,Bath Buddy,$28700000,-,-,$28700000,100%,2020.csv,2020
53,The Witches,$26958129,-,-,$26958129,100%,2020.csv,2020
54,Emma.,$26405753,$10055355,38.1%,$16350398,61.9%,2020.csv,2020
55,Leap,$25818882,$83074,0.3%,$25735808,99.7%,2020.csv,2020
56,Scoob!,$24900000,-,-,$24900000,100%,2020.csv,2020
57,Interstellar 2020 Re-release,$23771122,-,-,$23771122,100%,2020.csv,2020
58,Gretel & Hansel,$22051055,$15347654,69.6%,$6703401,30.4%,2020.csv,2020
59,Poupelle of Chimney Town,$21824592,-,-,$21824592,100%,2020.csv,2020
60,Stigmatized Properties,$21276720,-,-,$21276720,100%,2020.csv,2020
61,The Photograph,$20690779,$20578185,99.5%,$112594,0.5%,2020.csv,2020
62,Yarn,$20444185,-,-,$20444185,100%,2020.csv,2020
63,Brahms: The Boy II,$20311536,$12611536,62.1%,$7700000,37.9%,2020.csv,2020
64,Violet Evergarden: The Movie,$20263658,-,-,$20263658,100%,2020.csv,2020
65,Ice 2,$19788995,-,-,$19788995,100%,2020.csv,2020
66,Soul Snatcher,$19561221,-,-,$19561221,100%,2020.csv,2020
67,The Turning,$19429304,$15472775,79.6%,$3956529,20.4%,2020.csv,2020
68,Fate/Stay Night: Heaven's Feel - III. Spring Song,$19252497,$200000,1%,$19052497,99%,2020.csv,2020
69,How the Grinch Stole Christmas 2020 Re-release,$18455781,$420180,2.3%,$18035601,97.7%,2020.csv,2020
70,The Father,$18395424,$2122771,11.5%,$16272653,88.5%,2020.csv,2020
71,Takizawa Enbujo Zero,$18091395,-,-,$18091395,100%,2020.csv,2020
72,The Promised Neverland,$17698106,-,-,$17698106,100%,2020.csv,2020
73,Kaiji: Final Game,$17645779,-,-,$17645779,100%,2020.csv,2020
74,Hitman: Agent Jun,$17601351,-,-,$17601351,100%,2020.csv,2020
75,Digimon Adventure: Last Evolution Kizuna,$17068434,-,-,$17068434,100%,2020.csv,2020
76,Baaghi 3,$16726510,$721439,4.3%,$16005071,95.7%,2020.csv,2020
77,Promising Young Woman,$16322965,$6460965,39.6%,$9862000,60.4%,2020.csv,2020
78,Pokémon the Movie: Secrets of the Jungle,$16052056,-,-,$16052056,100%,2020.csv,2020
79,I Still Believe,$16021491,$9868521,61.6%,$6152970,38.4%,2020.csv,2020
80,Freaky,$15920855,$9030855,56.7%,$6890000,43.3%,2020.csv,2020
81,Bye Bye Morons,$15452122,-,-,$15452122,100%,2020.csv,2020
82,The Way Back,$14690514,$13590514,92.5%,$1100000,7.5%,2020.csv,2020
83,The Personal History of David Copperfield,$14323355,$1876298,13.1%,$12447057,86.9%,2020.csv,2020
84,Nightlife,$14292148,-,-,$14292148,100%,2020.csv,2020
85,Pawn,$14191042,-,-,$14191042,100%,2020.csv,2020
86,The Lion King 2020 Re-release,$13784186,-,-,$13784186,100%,2020.csv,2020
87,#Alive,$13432212,-,-,$13432212,100%,2020.csv,2020
88,Howling Village,$13394556,-,-,$13394556,100%,2020.csv,2020
89,Come Play,$13175457,$10475990,79.5%,$2699467,20.5%,2020.csv,2020
90,Samjin Company English Class,$12761386,-,-,$12761386,100%,2020.csv,2020
91,News of the World,$12668325,$12668325,100%,-,-,2020.csv,2020
92,Collectors,$12640113,-,-,$12640113,100%,2020.csv,2020
93,No Escapes,$12583300,-,-,$12583300,100%,2020.csv,2020
94,Ducobu 3,$12157793,-,-,$12157793,100%,2020.csv,2020
95,Legend No. 17,$11811335,-,-,$11811335,100%,2020.csv,2020
96,Wotakoi: Love Is Hard for Otaku,$11702371,-,-,$11702371,100%,2020.csv,2020
97,Padre no hay más que uno 2: La llegada de la suegra,$11700000,-,-,$11700000,100%,2020.csv,2020
98,Let Him Go,$11630934,$9358025,80.5%,$2272909,19.5%,2020.csv,2020
99,The Hunt,$11473631,$5812500,50.7%,$5661131,49.3%,2020.csv,2020
100,The Voice of Sin,$10983063,-,-,$10983063,100%,2020.csv,2020
101,Me contro Te - Il film: La vendetta del Signor S,$10779891,-,-,$10779891,100%,2020.csv,2020
102,Impractical Jokers: The Movie,$10691091,$10691091,100%,-,-,2020.csv,2020
103,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,$10628463,-,-,$10628463,100%,2020.csv,2020
104,One Second,$10600000,-,-,$10600000,100%,2020.csv,2020
105,Honest Candidate,$10597464,-,-,$10597464,100%,2020.csv,2020
106,Street Dancer 3D,$10339127,-,-,$10339127,100%,2020.csv,2020
107,My Spy,$10200000,-,-,$10200000,100%,2020.csv,2020
108,The Asadas,$10066797,-,-,$10066797,100%,2020.csv,2020
109,Stolen Identity 2,$9687188,-,-,$9687188,100%,2020.csv,2020
110,10 Days with Dad,$9472077,$2359,<0.1%,$9469718,100%,2020.csv,2020
111,365 Days,$9458590,-,-,$9458590,100%,2020.csv,2020
112,Secret Zoo,$9457317,-,-,$9457317,100%,2020.csv,2020
113,Okay Madam,$9433525,-,-,$9433525,100%,2020.csv,2020
114,A Quiet Place 2020 Re-release,$9381052,-,-,$9381052,100%,2020.csv,2020
115,Bohemian Rhapsody 2020 Re-release,$9360701,$240000,2.6%,$9120701,97.4%,2020.csv,2020
116,Bigfoot Family,$9353378,-,-,$9353378,100%,2020.csv,2020
117,L'appel de la forêt,$9317347,-,-,$9317347,100%,2020.csv,2020
118,Inception 10th Anniversary re-release,$9100000,-,-,$9100000,100%,2020.csv,2020
119,Break the Silence: The Movie,$8954345,-,-,$8954345,100%,2020.csv,2020
120,The Closet,$8948595,-,-,$8948595,100%,2020.csv,2020
121,I Hate Summer,$8926364,-,-,$8926364,100%,2020.csv,2020
122,30 jours max,$8916866,-,-,$8916866,100%,2020.csv,2020
123,Downhill,$8899195,$8287061,93.1%,$612134,6.9%,2020.csv,2020
124,Les blagues de Toto,$8859185,-,-,$8859185,100%,2020.csv,2020
125,The Secret Garden,$8842172,-,-,$8842172,100%,2020.csv,2020
126,Malasaña 32,$8683909,-,-,$8683909,100%,2020.csv,2020
127,Another Round,$8643452,-,-,$8643452,100%,2020.csv,2020
128,Eltilerin Savasi,$8613864,-,-,$8613864,100%,2020.csv,2020
129,Malang,$8399765,-,-,$8399765,100%,2020.csv,2020
130,100% Wolf,$8169164,$658764,8.1%,$7510400,91.9%,2020.csv,2020
131,Your Eyes Tell,$8020474,-,-,$8020474,100%,2020.csv,2020
132,AI Amok,$7932191,-,-,$7932191,100%,2020.csv,2020
133,The Lost Prince,$7837980,-,-,$7837980,100%,2020.csv,2020
134,The Marriage Escape,$7760946,-,-,$7760946,100%,2020.csv,2020
135,Spirited Away Studio Ghibli Fest 2020,$7732435,-,-,$7732435,100%,2020.csv,2020
136,Neposredstvenno Kakha,$7692780,-,-,$7692780,100%,2020.csv,2020
137,Princess Mononoke Studio Ghibli Fest 2020,$7673207,-,-,$7673207,100%,2020.csv,2020
138,The Heist of the Century,$7558890,-,-,$7558890,100%,2020.csv,2020
139,Fukushima 50,$7494243,-,-,$7494243,100%,2020.csv,2020
140,De Gaulle,$7473247,-,-,$7473247,100%,2020.csv,2020
141,Antoinette dans les Cévennes,$7441698,-,-,$7441698,100%,2020.csv,2020
142,The (UN)perfect Guy,$7154649,-,-,$7154649,100%,2020.csv,2020
143,Back to the Wharf,$7090000,-,-,$7090000,100%,2020.csv,2020
144,Adu,$7085946,-,-,$7085946,100%,2020.csv,2020
145,The Best Years,$7035246,-,-,$7035246,100%,2020.csv,2020
146,Fatale,$6993043,$6306897,90.2%,$686146,9.8%,2020.csv,2020
147,Spycies,$6979672,-,-,$6979672,100%,2020.csv,2020
148,Jim Button and the Wild 13,$6880898,-,-,$6880898,100%,2020.csv,2020
149,Antebellum,$6852361,-,-,$6852361,100%,2020.csv,2020
150,Psy 3: W imie zasad,$6725146,-,-,$6725146,100%,2020.csv,2020
151,Blood Moon Party,$6709383,-,-,$6709383,100%,2020.csv,2020
152,Innocence,$6659968,-,-,$6659968,100%,2020.csv,2020
153,Shubh Mangal Zyada Saavdhan,$6574905,-,-,$6574905,100%,2020.csv,2020
154,Silver Skates,$6574310,-,-,$6574310,100%,2020.csv,2020
155,Chhapaak,$6532100,$604334,9.3%,$5927766,90.7%,2020.csv,2020
156,Love Me Love Me Not,$6494241,-,-,$6494241,100%,2020.csv,2020
157,Dragon Rider,$6472379,-,-,$6472379,100%,2020.csv,2020
158,Hammamet,$6434874,-,-,$6434874,100%,2020.csv,2020
159,Lindenberg! Mach dein Ding,$6404964,-,-,$6404964,100%,2020.csv,2020
160,Midnight Swan,$6397065,-,-,$6397065,100%,2020.csv,2020
161,Nausicaä of the Valley of the Wind 2020 Re-release,$6395525,-,-,$6395525,100%,2020.csv,2020
162,Simply Black,$6323750,-,-,$6323750,100%,2020.csv,2020
163,My Boyfriend's Meds,$6292780,$2971116,47.2%,$3321664,52.8%,2020.csv,2020
164,Bill & Ted Face the Music,$6274027,$3439660,54.8%,$2834367,45.2%,2020.csv,2020
165,Hotel Belgrade,$6085659,-,-,$6085659,100%,2020.csv,2020
166,The Legacy Of Dr. Death: Black File,$6024046,-,-,$6024046,100%,2020.csv,2020
167,The Rhythm Section,$5989583,$5437971,90.8%,$551612,9.2%,2020.csv,2020
168,Jak zostalem gangsterem. Historia prawdziwa,$5975729,-,-,$5975729,100%,2020.csv,2020
169,How to Be a Good Wife,$5966014,-,-,$5966014,100%,2020.csv,2020
170,Twiceborn,$5880157,$11527,0.2%,$5868630,99.8%,2020.csv,2020
171,The Royal Bride,$5830719,-,-,$5830719,100%,2020.csv,2020
172,Beasts Clawing at Straws,$5796059,-,-,$5796059,100%,2020.csv,2020
173,Last Letter,$5663972,-,-,$5663972,100%,2020.csv,2020
174,Yowamushi Pedal: The Movie 2020 Re-release,$5624218,-,-,$5624218,100%,2020.csv,2020
175,Klassikokkutulek 2: Pulmad ja matused,$5543147,-,-,$5543147,100%,2020.csv,2020
176,Hocus Pocus 2020 Re-release,$5432992,$4828000,88.9%,$604992,11.1%,2020.csv,2020
177,Two by Two: Overboard!,$5360412,-,-,$5360412,100%,2020.csv,2020
178,Divorce Club,$5316313,-,-,$5316313,100%,2020.csv,2020
179,Cindy La Regia,$5222322,-,-,$5222322,100%,2020.csv,2020
180,Mama Weed,$5144345,-,-,$5144345,100%,2020.csv,2020
181,Love Aaj Kal,$5120794,-,-,$5120794,100%,2020.csv,2020
182,Masked Ward,$5106794,-,-,$5106794,100%,2020.csv,2020
183,Ayyappanum Koshiyum,$5088713,-,-,$5088713,100%,2020.csv,2020
184,Baba Parasi,$5084342,-,-,$5084342,100%,2020.csv,2020
185,Die Känguru-Chroniken,$5081127,-,-,$5081127,100%,2020.csv,2020
186,The Real Exorcist,$5035830,-,-,$5035830,100%,2020.csv,2020
187,Mayday,$5011408,-,-,$5011408,100%,2020.csv,2020
188,Bheeshma,$4997080,-,-,$4997080,100%,2020.csv,2020
189,Made in Abyss: Dawn of the Deep Soul,$4971635,-,-,$4971635,100%,2020.csv,2020
190,Godai - The Wunderkind,$4948225,-,-,$4948225,100%,2020.csv,2020
191,Panga,$4886124,$582720,11.9%,$4303404,88.1%,2020.csv,2020
192,The Tales for Old and Young,$4853143,-,-,$4853143,100%,2020.csv,2020
193,Streltsov,$4850073,-,-,$4850073,100%,2020.csv,2020
194,The SpongeBob Movie: Sponge on the Run,$4810790,$4810790,100%,-,-,2020.csv,2020
195,The Vets,$4788826,-,-,$4788826,100%,2020.csv,2020
196,The Broken Hearts Gallery,$4781389,$4067442,85.1%,$713947,14.9%,2020.csv,2020
197,Gladiator 20th Anniversary,$4780585,-,-,$4780585,100%,2020.csv,2020
198,Intruder,$4751103,-,-,$4751103,100%,2020.csv,2020
199,Granny Nanny,$4654655,$432,<0.1%,$4654223,100%,2020.csv,2020
200,Military Wives,$4558564,-,-,$4558564,100%,2020.csv,2020
