Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Avengers: Infinity War,$2048359754,$678815482,33.1%,$1369544272,66.9%
2,Black Panther,$1346913161,$700059566,52%,$646853595,48%
3,Jurassic World: Fallen Kingdom,$1308467944,$417719760,31.9%,$890748184,68.1%
4,Incredibles 2,$1242805359,$608581744,49%,$634223615,51%
5,Aquaman,$1148461807,$335061807,29.2%,$813400000,70.8%
6,Bohemian Rhapsody,$903655259,$216428042,24%,$687227217,76%
7,Venom,$856085151,$213515506,24.9%,$642569645,75.1%
8,Mission: Impossible - Fallout,$791115104,$220159104,27.8%,$570956000,72.2%
9,Deadpool 2,$734546611,$318491426,43.4%,$416055185,56.6%
10,Fantastic Beasts: The Crimes of Grindelwald,$654855901,$159555901,24.4%,$495300000,75.6%
11,Ant-Man and the Wasp,$622674139,$216648740,34.8%,$406025399,65.2%
12,Ready Player One,$582890172,$137690172,23.6%,$445200000,76.4%
13,Operation Red Sea,$579330426,$1543547,0.3%,$577786879,99.7%
14,Detective Chinatown 2,$544185156,$1983984,0.4%,$542201172,99.6%
15,The Meg,$530243742,$145443742,27.4%,$384800000,72.6%
16,Ralph Breaks the Internet,$529323962,$201091711,38%,$328232251,62%
17,Hotel Transylvania 3: Summer Vacation,$528583774,$167510016,31.7%,$361073758,68.3%
18,The Grinch,$511595957,$270620950,52.9%,$240975007,47.1%
19,Bumblebee,$467989645,$127195589,27.2%,$340794056,72.8%
20,Dying to Survive,$451176639,-,-,$451176639,100%
21,A Star Is Born,$436188866,$215288866,49.4%,$220900000,50.6%
22,Rampage,$428028233,$101028233,23.6%,$327000000,76.4%
23,Mamma Mia! Here We Go Again,$395044706,$120634935,30.5%,$274409771,69.5%
24,Solo: A Star Wars Story,$392924807,$213767512,54.4%,$179157295,45.6%
25,Spider-Man: Into the Spider-Verse,$375540831,$190241310,50.7%,$185299521,49.3%
26,Fifty Shades Freed,$371985018,$100407760,27%,$271577258,73%
27,Hello Mr. Billionaire,$366961907,-,-,$366961907,100%
28,The Nun,$365550119,$117450119,32.1%,$248100000,67.9%
29,Monster Hunt 2,$361682618,$706153,0.2%,$360976465,99.8%
30,Peter Rabbit,$351266433,$115253424,32.8%,$236013009,67.2%
31,Mary Poppins Returns,$349537494,$171958438,49.2%,$177579056,50.8%
32,A Quiet Place,$340939361,$188024361,55.1%,$152915000,44.9%
33,Green Book,$321752656,$85080171,26.4%,$236672485,73.6%
34,Skyscraper,$304868961,$68420120,22.4%,$236448841,77.6%
35,Ocean's Eight,$297718711,$140218711,47.1%,$157500000,52.9%
36,Pacific Rim: Uprising,$290930148,$59874525,20.6%,$231055623,79.4%
37,Maze Runner: The Death Cure,$288175335,$58032443,20.1%,$230142892,79.9%
38,Tomb Raider,$274650803,$58250803,21.2%,$216400000,78.8%
39,Halloween,$255485178,$159342015,62.4%,$96143163,37.6%
40,Crazy Rich Asians,$238532921,$174532921,73.2%,$64000000,26.8%
41,Creed II,$214215889,$115715889,54%,$98500000,46%
42,Smallfoot,$214040103,$83240103,38.9%,$130800000,61.1%
43,Us and Them,$209221380,-,-,$209221380,100%
44,The Island,$198326350,$670883,0.3%,$197655467,99.7%
45,Christopher Robin,$197744377,$99215042,50.2%,$98529335,49.8%
46,The Equalizer 2,$190400157,$102084362,53.6%,$88315795,46.4%
47,Project Gutenberg,$188116796,-,-,$188116796,100%
48,The Mule,$174804407,$103804407,59.4%,$71000000,40.6%
49,The Nutcracker and the Four Realms,$173961069,$54858851,31.5%,$119102218,68.5%
50,Insidious: The Last Key,$167885588,$67745330,40.4%,$100140258,59.6%
51,The Predator,$160542134,$51024708,31.8%,$109517426,68.2%
52,Johnny English Strikes Again,$158970776,$4412170,2.8%,$154558606,97.2%
53,Red Sparrow,$151572634,$46874505,30.9%,$104698129,69.1%
54,More Than Blue,$142958164,$722669,0.5%,$142235495,99.5%
55,The First Purge,$137056262,$69488745,50.7%,$67567517,49.3%
56,How Long Will I Love U,$136796719,$746933,0.5%,$136049786,99.5%
57,A Wrinkle in Time,$132675864,$100478608,75.7%,$32197256,24.3%
58,The House with a Clock in Its Walls,$131457147,$68549695,52.1%,$62907452,47.9%
59,Instant Family,$120556201,$67363237,55.9%,$53192964,44.1%
60,A Cool Fish,$118153135,$551876,0.5%,$117601259,99.5%
61,Game Night,$117679066,$69179066,58.8%,$48500000,41.2%
62,Dragon Ball Super: Broly,$115757940,$30712119,26.5%,$85045821,73.5%
63,The Monkey King 3,$115084576,$187074,0.2%,$114897502,99.8%
64,First Man,$105697415,$44936545,42.5%,$60760870,57.5%
65,Book Club,$104438188,$68566296,65.7%,$35871892,34.3%
66,Night School,$103105878,$77339130,75%,$25766748,25%
67,Detective Conan: Zero the Enforcer,$101860359,-,-,$101860359,100%
68,Alpha,$98203196,$35857181,36.5%,$62346015,63.5%
69,Along With the Gods: The Last 49 Days,$97962238,$1200246,1.2%,$96761992,98.8%
70,A Simple Favor,$97644617,$53548586,54.8%,$44096031,45.2%
71,Boonie Bears 5,$96820519,-,-,$96820519,100%
72,The Favourite,$95918706,$34366783,35.8%,$61551923,64.2%
73,Truth or Dare,$95330493,$41411015,43.4%,$53919478,56.6%
74,Kill Mobile,$94870905,-,-,$94870905,100%
75,I Feel Pretty,$94539426,$48795601,51.6%,$45743825,48.4%
76,Blockers,$94017294,$60311495,64.1%,$33705799,35.9%
77,BlacKkKlansman,$93400823,$49275340,52.8%,$44125483,47.2%
78,Goosebumps 2: Haunted Halloween,$93320380,$46700633,50%,$46619747,50%
79,Shadow,$91708374,$521396,0.6%,$91186978,99.4%
80,Overboard,$91244913,$50316123,55.1%,$40928790,44.9%
81,Sherlock Gnomes,$90497778,$43242871,47.8%,$47254907,52.2%
82,Detective Dee: The Four Heavenly Kings,$90040771,$262963,0.3%,$89777808,99.7%
83,Hello Mrs. Money,$86874070,-,-,$86874070,100%
84,Robin Hood,$86489031,$30824628,35.6%,$55664403,64.4%
85,I Can Only Imagine,$86086881,$83482352,97%,$2604529,3%
86,Hidden Man,$85170581,-,-,$85170581,100%
87,Mortal Engines,$83672673,$15951040,19.1%,$67721633,80.9%
88,Partment: The Movie,$81096321,-,-,$81096321,100%
89,Doraemon the Movie: Nobita's Treasure Island,$80920916,-,-,$80920916,100%
90,Den of Thieves,$80509622,$44947622,55.8%,$35562000,44.2%
91,Hereditary,$80200936,$44069456,54.9%,$36131480,45.1%
92,Code Blue the Movie,$78778562,-,-,$78778562,100%
93,Tag,$78130625,$54730625,70.1%,$23400000,29.9%
94,Sanju,$76693052,$7909317,10.3%,$68783735,89.7%
95,Vice,$76073488,$47836282,62.9%,$28237206,37.1%
96,Widows,$75984700,$42402632,55.8%,$33582068,44.2%
97,Sicario: Day of the Soldado,$75837743,$50072235,66%,$25765508,34%
98,Searching,$75462037,$26020957,34.5%,$49441080,65.5%
99,The Spy Who Dumped Me,$75320680,$33562069,44.6%,$41758611,55.4%
100,Animal World,$74922830,-,-,$74922830,100%
101,Amazing China,$72506343,-,-,$72506343,100%
102,Second Act,$72282227,$39282227,54.3%,$33000000,45.7%
103,Spirited Away 2018 Re-release,$70186029,$1175067,1.7%,$69010962,98.3%
104,Shoplifters,$67999335,$3313513,4.9%,$64685822,95.1%
105,12 Strong,$67450815,$45819713,67.9%,$21631102,32.1%
106,Love Simon,$66316289,$40826341,61.6%,$25489948,38.4%
107,Mile 22,$66308758,$36108758,54.5%,$30200000,45.5%
108,Life of the Party,$65859911,$53059911,80.6%,$12800000,19.4%
109,L Storm,$64517456,-,-,$64517456,100%
110,Capernaum,$64417003,$1661096,2.6%,$62755907,97.4%
111,Isle of Dogs,$64241499,$32015231,49.8%,$32226268,50.2%
112,Andhadhun,$62475342,$1193046,1.9%,$61282296,98.1%
113,Adrift,$59945012,$31445012,52.5%,$28500000,47.5%
114,The 15:17 to Paris,$57076286,$36276286,63.6%,$20800000,36.4%
115,A or B,$56239049,-,-,$56239049,100%
116,Go Brother!,$54663060,-,-,$54663060,100%
117,Early Man,$54622814,$8267544,15.1%,$46355270,84.9%
118,Peppermint,$53918723,$35418723,65.7%,$18500000,34.3%
119,Teen Titans GO! To the Movies,$52090236,$29790236,57.2%,$22300000,42.8%
120,Slender Man,$51738549,$30569484,59.1%,$21169065,40.9%
121,Breaking In,$51411620,$46840590,91.1%,$4571030,8.9%
122,Cry Me a Sad River,$51400614,-,-,$51400614,100%
123,Simmba,$51329025,$5102129,9.9%,$46226896,90.1%
124,Once Upon a Deadpool 2018 Re-release,$51247568,$6100309,11.9%,$45147259,88.1%
125,Family is Family,$49954866,-,-,$49954866,100%
126,Death Wish,$49562710,$34017028,68.6%,$15545682,31.4%
127,The Magic Tuche,$47427990,-,-,$47427990,100%
128,Golden Job,$47287851,$285795,0.6%,$47002056,99.4%
129,Mary Queen of Scots,$46712809,$16468499,35.3%,$30244310,64.7%
130,Uncle Drew,$46664414,$42469946,91%,$4194468,9%
131,Acrimony,$46403669,$43549096,93.8%,$2854573,6.2%
132,Asterix: The Secret of the Magic Potion,$46221204,$1271953,2.8%,$44949251,97.2%
133,Bajrangi Bhaijaan 2018 Re-release,$45579004,-,-,$45579004,100%
134,Winchester,$44019588,$25091816,57%,$18927772,43%
135,Annihilation,$43070915,$32732301,76%,$10338614,24%
136,The Possession of Hannah Grace,$43016528,$14837422,34.5%,$28179106,65.5%
137,Long Day's Journey Into Night,$42140994,$521365,1.2%,$41619629,98.8%
138,Overlord,$41657844,$21704844,52.1%,$19953000,47.9%
139,The Great Battle,$41509280,$472166,1.1%,$41037114,98.9%
140,The Darkest Minds,$41142379,$12695691,30.9%,$28446688,69.1%
141,Lost Found,$41043552,-,-,$41043552,100%
142,Holmes & Watson,$40466970,$30573626,75.6%,$9893344,24.4%
143,Intimate Strangers,$39576060,-,-,$39576060,100%
144,Thugs of Hindostan,$39570044,$1449848,3.7%,$38120196,96.3%
145,Sink or Swim,$39193850,-,-,$39193850,100%
146,Show Dogs,$39156854,$17857020,45.6%,$21299834,54.4%
147,Believer,$39047153,$365639,0.9%,$38681514,99.1%
148,The Spy Gone North,$38844509,$500803,1.3%,$38343706,98.7%
149,On the Basis of Sex,$38673750,$24622687,63.7%,$14051063,36.3%
150,Taxi 5,$38598227,-,-,$38598227,100%
151,Fat Buddies,$37496410,-,-,$37496410,100%
152,Till The End Of The World,$37013733,$118660,0.3%,$36895073,99.7%
153,2.0,$36945969,$4152000,11.2%,$32793969,88.8%
154,Nothing to Lose,$36075317,$1016188,2.8%,$35059129,97.2%
155,T-34,$35950901,-,-,$35950901,100%
156,Mia and the White Lion,$35487190,$399471,1.1%,$35087719,98.9%
157,The Girl in the Spider's Web,$35164920,$14841338,42.2%,$20323582,57.8%
158,The Hate U Give,$34934009,$29719483,85.1%,$5214526,14.9%
159,Nobody's Fool,$33705333,$31713110,94.1%,$1992223,5.9%
160,Baaghi 2,$33139063,$1319579,4%,$31819484,96%
161,The Hurricane Heist,$32517248,$6115825,18.8%,$26401423,81.2%
162,All About Me,$31920159,-,-,$31920159,100%
163,Bad Times at the El Royale,$31882724,$17839115,56%,$14043609,44%
164,Hunter Killer,$31672678,$15767460,49.8%,$15905218,50.2%
165,Super Troopers 2,$31626386,$30617396,96.8%,$1008990,3.2%
166,The Strangers: Prey at Night,$31039126,$24586708,79.2%,$6452418,20.8%
167,Gintama 2: Rules are Made to be Broken,$30896653,-,-,$30896653,100%
168,The Way of the Bug,$30355804,-,-,$30355804,100%
169,Clergy,$30114115,-,-,$30114115,100%
170,Ice,$29806210,-,-,$29806210,100%
171,Free Solo,$29318861,$17541090,59.8%,$11777771,40.2%
172,Dark Figure of Crime,$29176133,-,-,$29176133,100%
173,Pad Man,$29045020,$1670192,5.8%,$27374828,94.2%
174,Mirai,$28756961,$812794,2.8%,$27944167,97.2%
175,Default,$27694043,$203775,0.7%,$27490268,99.3%
176,One Cut of the Dead,$27590180,$52406,0.2%,$27537774,99.8%
177,The Happytime Murders,$27506452,$20706452,75.3%,$6800000,24.7%
178,Midnight Sun,$27365467,$9561064,34.9%,$17804403,65.1%
179,VIP Policeman,$27222681,-,-,$27222681,100%
180,My Neighbor Totoro 2018 Re-release,$27083857,$1144649,4.2%,$25939208,95.8%
181,The Faces of My Gene,$26796279,-,-,$26796279,100%
182,Badhaai Ho,$26125610,-,-,$26125610,100%
183,Hichki,$26055222,$330279,1.3%,$25724943,98.7%
184,White Boy Rick,$25957482,$24011188,92.5%,$1946294,7.5%
185,Paul Apostle of Christ,$25915966,$17560475,67.8%,$8355491,32.2%
186,Champions,$25690816,-,-,$25690816,100%
187,Keys To The Heart,$25375866,$75134,0.3%,$25300732,99.7%
188,Stan & Ollie,$24420923,$5470235,22.4%,$18950688,77.6%
189,The Witch: Part 1 - The Subversion,$24340302,-,-,$24340302,100%
190,The Accidental Detective 2: In Action,$24243825,$179045,0.7%,$24064780,99.3%
191,Killing for the Prosecution,$23929620,-,-,$23929620,100%
192,Pokémon the Movie: The Power of Us,$23740788,$789170,3.3%,$22951618,96.7%
193,The Guernsey Literary and Potato Peel Pie Society,$23148937,-,-,$23148937,100%
194,The Crimes That Bind,$23144130,-,-,$23144130,100%
195,New Happy Dad and Son 3: Adventure in Russia,$23130469,-,-,$23130469,100%
196,Padmaavat,$22991060,$11846060,51.5%,$11145000,48.5%
197,Won't You Be My Neighbor?,$22844741,$22835787,100%,$8954,<0.1%
198,Europe Raiders,$22435156,-,-,$22435156,100%
199,Mojin: The Worm Valley,$22381583,$101516,0.5%,$22280067,99.5%
200,Stree,$22075730,-,-,$22075730,100%
